class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
p,7.81,b,t,w,f,e,c,w,12.31,13.16,,y,w,u,w,t,e,,d,a
p,7.45,x,h,r,f,,c,w,10.69,14.79,,,w,u,w,t,p,,d,u
e,3.12,f,y,n,f,a,d,p,7.09,3.25,,i,n,,,f,f,,h,a
e,2.92,s,y,n,f,d,d,p,6.81,3.03,,i,n,,,f,f,,l,a
p,3.78,x,y,n,f,a,,w,5.27,3.62,,y,n,,,t,r,,g,a
p,18.25,f,h,o,f,e,,w,18.22,18.36,s,y,w,u,w,t,p,,d,a
e,14.69,x,e,n,t,e,,w,9.67,17.01,,,w,,,t,,,g,a
p,6.96,x,g,n,f,e,,w,7.41,14.17,,y,w,u,w,t,p,,d,a
e,7.75,x,,y,f,e,,w,5.97,11.66,b,,y,u,y,t,g,,d,a
p,3.71,x,y,n,f,a,,w,5.74,3.78,,y,n,,,t,r,,h,u
p,15.64,f,g,e,f,e,,w,16.59,17.73,s,y,w,u,w,t,g,,d,u
e,2.82,f,y,n,f,d,d,p,7.55,3.47,,i,n,,,f,f,,h,a
p,2.85,b,y,n,f,e,c,w,4.33,3.39,,k,w,,,t,e,,m,u
e,2.84,x,,u,f,,d,w,5.71,4.13,,,w,,,f,f,,d,w
p,13.43,x,h,o,f,e,,w,17.74,17.37,s,y,w,u,w,t,p,,d,a
e,18.13,p,y,w,f,,,w,28.95,20.51,s,,n,,,t,m,,m,a
e,17.46,f,y,w,f,,,w,22.71,20.4,s,,n,,,t,m,,d,u
e,15.13,x,y,n,t,e,,w,10.24,17.65,,,w,,,t,,,d,u
e,11.24,f,,n,t,,,w,10.66,14.63,b,,w,u,w,t,g,,d,a
e,13.05,x,,n,t,,,w,12.21,17.93,b,,w,u,w,t,g,,d,u
p,8.69,f,h,r,f,,c,w,11.3,14.55,,,w,u,w,t,g,,d,u
p,14.49,f,h,o,f,e,,w,17.02,17.69,s,y,w,u,w,t,p,,d,u
